Time since refrence of first frame,Checksum,Window Scaling factor,Calculated Window size value,Window size value,Capture Length,Next Sequence Number,Acknowledge Number,SRC PORT,SRC DEST,SRC IP,Dest IP,Offset,S.Address1,S.Address2,S.Address3,S.Address4,S.Address5,Adress1,Adress2,Adress3,Adress4,Adress5,Checksum 1,Irtt,Data,Labeled
0,0x5928,4,64240,64240,66,0,0,6641,4433,114,111,0,25,b3,bf,91,ee,0c,29,7,ae,27,0x5928,0,x,0
0.0001,0x4f12,1,64240,64240,66,1,0,4433,6641,111,114,0,0c,29,7,ae,27,25,b3,bf,91,ee,0x4f12,0.000138,x,0
0.000138,0x591c,4,64240,16060,54,1,1,6641,4433,114,111,0,25,b3,bf,91,ee,0c,29,7,ae,27,0x591c,0.000138,x,0
0.001123,0x59c0,4,64240,64240,68,1,1,4433,6641,111,114,0,0c,29,7,ae,27,25,b3,bf,91,ee,0xbe2b,0.000138, 414e4142494c47497c3535360d0a,1
0.010676,0x5928,4,64224,16056,218,15,1,6641,4433,114,111,0,25,b3,bf,91,ee,0c,29,7,ae,27,0x59c0,0.000138, 414e4142494c47497c3139322e3136382e3132362e313433,1
0.012008,0x8530,1,64240,64240,66,0,0,6642,4433,114,111,0,25,b3,bf,91,ee,0c,29,7,ae,27,0x5928,0,x,0
0.012108,0x591c,1,64240,64240,66,1,0,4433,6642,111,114,0,0c,29,7,ae,27,25,b3,bf,91,ee,0x8530,0.00014,x,0
0.012148,0x5923,4,64240,16060,54,1,1,6642,4433,114,111,0,25,b3,bf,91,ee,0c,29,7,ae,27,0x591c,0.00014,x,0
0.012479,0x8fcf,4,64240,16060,61,1,1,6642,4433,114,111,0,25,b3,bf,91,ee,0c,29,7,ae,27,0x5923,0.00014, 53487c3535360a,0
0.076023,0x591c,1,64233,64233,68,8,1,4433,6642,111,114,0,0c,29,7,ae,27,25,b3,bf,91,ee,0xf34f,0.00014, 414e4142494c47497c3536300d0a,1
0.21752,0x5925,4,64076,64076,54,165,15,4433,6641,111,114,0,0c,29,7,ae,27,25,b3,bf,91,ee,0x8fcf,0.000138,x,0
0.275459,0x8fcf,1,64224,16056,54,15,8,6642,4433,114,111,0,25,b3,bf,91,ee,0c,29,7,ae,27,0x591c,0.00014,x,0
10.002165,0x5925,4,64224,16056,63,15,165,6641,4433,114,111,0,25,b3,bf,91,ee,0c,29,7,ae,27,0x5925,0.000138, 4241474c494d493f0a,0
10.171068,0x8fcf,1,64067,64067,54,174,15,4433,6641,111,114,0,0c,29,7,ae,27,25,b3,bf,91,ee,0x8fcf,0.000138,x,0
20.017773,0x5925,4,64224,16056,63,15,174,6641,4433,114,111,0,25,b3,bf,91,ee,0c,29,7,ae,27,0x5925,0.000138, 4241474c494d493f0a,0
20.233638,0x8fcf,1,64058,64058,54,183,15,4433,6641,111,114,0,0c,29,7,ae,27,25,b3,bf,91,ee,0x8fcf,0.000138,x,0
30.033336,0x5925,4,64224,16056,63,15,183,6641,4433,114,111,0,25,b3,bf,91,ee,0c,29,7,ae,27,0x5925,0.000138, 4241474c494d493f0a,0
30.186229,0x8fcf,1,64049,64049,54,192,15,4433,6641,111,114,0,0c,29,7,ae,27,25,b3,bf,91,ee,0x8fcf,0.000138,x,0
40.03294,0x5925,4,64224,16056,63,15,192,6641,4433,114,111,0,25,b3,bf,91,ee,0c,29,7,ae,27,0x5925,0.000138, 4241474c494d493f0a,0
40.248812,0x8fcf,1,64040,64040,54,201,15,4433,6641,111,114,0,0c,29,7,ae,27,25,b3,bf,91,ee,0x8fcf,0.000138,x,0
50.033499,0x5925,4,64224,16056,63,15,201,6641,4433,114,111,0,25,b3,bf,91,ee,0c,29,7,ae,27,0x5925,0.000138, 4241474c494d493f0a,0
50.202358,0x8fcf,1,64031,64031,54,210,15,4433,6641,111,114,0,0c,29,7,ae,27,25,b3,bf,91,ee,0x8fcf,0.000138,x,0
60.033124,0x5925,1,64224,16056,63,15,210,6641,4433,114,111,0,25,b3,bf,91,ee,0c,29,7,ae,27,0x5925,0.000138, 4241474c494d493f0a,0
60.154954,0x8fcf,4,64022,64022,54,219,15,4433,6641,111,114,0,0c,29,7,ae,27,25,b3,bf,91,ee,0x8fcf,0.000138,x,0
70.033632,0x591c,4,64224,16056,63,15,219,6641,4433,114,111,0,25,b3,bf,91,ee,0c,29,7,ae,27,0x5925,0.000138, 4241474c494d493f0a,0
70.21753,0x5928,1,64013,64013,54,228,15,4433,6641,111,114,0,0c,29,7,ae,27,25,b3,bf,91,ee,0x8fcf,0.000138,x,0
73.992367,0x04f0,4,64013,64013,67,228,15,4433,6641,111,114,0,0c,29,7,ae,27,25,b3,bf,91,ee,0xeb4a,0.000138, 43415053435245454e36300d0a,0
74.191698,0x591c,4,64212,16053,54,28,228,6641,4433,114,111,0,25,b3,bf,91,ee,0c,29,7,ae,27,0x591c,0.000138,x,0
74.205235,0x7a41,4,64240,64240,66,0,0,6643,4433,114,111,0,25,b3,bf,91,ee,0c,29,7,ae,27,0x5928,0,x,0
74.205367,0x5923,1,64240,64240,66,1,0,4433,6643,111,114,0,0c,29,7,ae,27,25,b3,bf,91,ee,0x04f0,0.000174,x,0
74.205409,0x5ed0,4,64240,16060,54,1,1,6643,4433,114,111,0,25,b3,bf,91,ee,0c,29,7,ae,27,0x591c,0.000174,x,0
74.206258,0x5b91,4,64240,64240,67,1,1,4433,6643,111,114,0,0c,29,7,ae,27,25,b3,bf,91,ee,0x7a41,0.000174, 414e4142494c47497c31320d0a,1
74.214906,0x3d7e,4,64224,16056,61,14,1,6643,4433,114,111,0,25,b3,bf,91,ee,0c,29,7,ae,27,0x5923,0.000174, 53487c3535360a,0
74.215407,0x5d1c,1,64224,16056,1514,14,8,6643,4433,114,111,0,25,b3,bf,91,ee,0c,29,7,ae,27,0x5ed0,0.000174, 43415053435245454e7c433a5c57494e444f57535c6a7067,0
74.215415,0x5ed0,4,64224,16056,683,14,1468,6643,4433,114,111,0,25,b3,bf,91,ee,0c,29,7,ae,27,0x5b91,0.000174, 69eb2b0e955813402ddaa5c6e173620bd2a98279a7b6a0c3,0
74.215485,0x5b68,4,64240,64240,54,2097,14,4433,6643,111,114,0,0c,29,7,ae,27,25,b3,bf,91,ee,0x3d7e,0.000174,x,0
74.21552,0x317e,4,64224,16056,1078,14,2097,6643,4433,114,111,0,25,b3,bf,91,ee,0c,29,7,ae,27,0x5d1c,0.000174, 2304d4d1cc1b1cd73df6af9aac5bdcfce003594a894a4744,0
74.21575,0x5d1c,1,64224,16056,1514,14,3121,6643,4433,114,111,0,25,b3,bf,91,ee,0c,29,7,ae,27,0x5ed0,0.000174, cc52d2b0c787a5de074a8a97b5161a27e4ae45337b034f89,0
74.215756,0x5ed0,4,64224,16056,642,14,4581,6643,4433,114,111,0,25,b3,bf,91,ee,0c,29,7,ae,27,0x5b68,0.000174, d4e334431839dc4d67c778619b638e2ad3dc83f329ab707d,0
74.215824,0x5b68,4,64240,64240,54,5169,14,4433,6643,111,114,0,0c,29,7,ae,27,25,b3,bf,91,ee,0x317e,0.000174,x,0
